CompanyCode|ProductVariant|ProductVariantType|ProductVariantStatus|MessageNumber|GlobalMessage|User|UpdateDate
D|3D |P|N|1|DYSON EXTENDED INSURANCE PLAN.                    |WHITES    |1020626
D|3D |P|N|2|IN THE BOX SCHEME FOR SOUTHERN IRELAND.           |WHITES    |1020626
D|3D |P|N|3|SCHEME COVERS VACUUM CLEANERS ONLY.               |WHITES    |1020626
D|3D |P|N|4|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|3D |P|N|5|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|3D |P|N|6|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1020626
D|3D |P|N|7|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1020626
D|3D |P|N|8|PAYMENT BY CSH,PO,CHQ,CC,DD (10 PAYMENTS).        |WHITES    |1020626
D|3D |P|N|9|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1020626
D|3D |P|N|10|PERIOD OF COVER IS 2+3 ONLY.                      |WHITES    |1020626
D|3D |P|N|11|VACUUM CLEANERS HAVE A TWO YEAR GUARANTEE.        |WHITES    |1020626
D|3D |P|N|12|CONTACT SIMON WHITE (EXTN 3501) IF ANY QUERIES.   |WHITES    |1020626
D|3D |P|R|1|DYSON EXTENDED INSURANCE PLAN.                    |WHITES    |1020626
D|3D |P|R|2|IN THE BOX SCHEME FOR SOUTHERN IRELAND.           |WHITES    |1020626
D|3D |P|R|3|SCHEME COVERS VACUUM CLEANERS ONLY.               |WHITES    |1020626
D|3D |P|R|4|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|3D |P|R|5|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|3D |P|R|6|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1020626
D|3D |P|R|7|NEEDING A REPAIR (TELEPHONE NUMBER (01) 475 7109).|WHITES    |1020626
D|3D |P|R|8|PAYMENT BY CSH,PO,CHQ,CC,DD (1/4LY AT RENEWAL).   |WHITES    |1020626
D|3D |P|R|9|COVER IS BREAKDOWN & ACCIDENTAL DAMAGE.           |WHITES    |1020626
D|3D |P|R|10|PERIOD OF COVER IS ANNUAL AT RENEWAL.             |WHITES    |1020626
D|3D |P|R|11|VACUUM CLEANERS HAVE A TWO YEAR GUARANTEE.        |WHITES    |1020626
D|3D |P|R|12|CONTACT SIMON WHITE (EXTN 3501) IF ANY QUERIES.   |WHITES    |1020626
D|1D |P|R|1|DYSON EXTENDED INSURANCE PLAN.                    |WHITES    |1020626
D|1D |P|R|2|30 DAY MAILING SCHEME FOR SOUTHERN IRELAND.       |WHITES    |1020626
D|1D |P|R|3|SCHEME COVERS VACUUM CLEANERS ONLY.               |WHITES    |1020626
D|1D |P|R|4|NON-MAPPABLE SCHEME.                              |WHITES    |1020626
D|1D |P|R|5|SCHEME IS NEW FOR OLD FOR LIFE.                   |WHITES    |1020626
D|1D |P|R|6|CUSTOMER CONTACTS DYSON DIRECT IN THE EVENT OF    |WHITES    |1020626
