CHANNEL_CODE|CHANNEL_NAME|CHANNEL_CATEGORY_CODE|ACTIVE_FLAG|RefDataId|LoadDatetime|LastUpdatedDatetime
0007|GENIO BRIGHTON|CUST|Y|5388|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0016|RMS|CUST|Y|5406|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0024|GENIO UNKNOWN|CUST|Y|5424|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0005|ENRICHMENT|CLIE|Y|5384|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0015|RETAIL PARTNER PORTAL|CLIE|Y|5404|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0032|DIGITAL - D&G OLR|CUST|Y|200060|2019-10-30 19:01:27.916815|2019-10-30 19:01:27.916815
0036|AGENT DESKTOP|CUST|Y|200100|2020-02-14 19:01:32.683915|2020-02-14 19:01:32.683915
0042|RESPOND|CUST|Y|200180|2020-10-15 19:00:51.041301|2020-10-15 19:00:51.041301
0048|PAY SUPERVISOR|UNKN|Y|200300|2022-06-29 19:01:26.120621|2022-06-29 19:01:26.120621
0013|PARTNER PORTAL|CLIE|Y|5400|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0022|GENIO B3|CUST|Y|5420|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0002|ECOMMERCE|CUST|Y|5378|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0011|GENIO VOICE|CUST|Y|5396|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0021|GENIO CARPEO|CUST|Y|5418|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0030|DIGITAL - D&G MY ACCOUNT|CUST|Y|200061|2019-10-30 19:01:27.916815|2019-10-30 19:01:27.916815
0037|REPLACEMENT DATA FROM PROVIDE|CUST|Y|200120|2020-05-07 19:01:30.838704|2020-05-07 19:01:30.838704
0043|EMAIL OPT OUT|CUST|Y|200200|2020-12-16 19:00:59.767339|2020-12-16 19:00:59.767339
0049|GENESYS PURE CLOUD|CUST|Y|200320|2022-11-09 19:02:46.212660|2022-11-10 19:03:19.891897
0019|WEB SERVICES|CLIE|Y|5412|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0000|CAMALOT|UNKN|Y|5374|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
0008|GENIO MODUS|CUST|Y|5390|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
