CHANNEL_GROUP_CODE|CHANNEL_GROUP_NAME|ACTIVE_FLAG|RefDataId|LoadDatetime|LastUpdatedDatetime
0001|POLICY ENGINE|Y|2566|2018-02-28 16:43:34.000000|2019-03-27 21:49:49.799789
0009|AGENT DESKTOP|N|200020|2020-02-14 19:05:18.890577|2020-06-04 19:05:25.399850
0005|DIGITAL|Y|2570|2018-02-28 16:43:34.000000|2019-03-27 21:49:49.799789
9999|UNKNOWN|Y|2572|2018-02-28 16:43:34.000000|2019-03-27 21:49:49.799789
0003|OUTSOURCED CONTACT CENTRE|Y|2568|2018-02-28 16:43:34.000000|2019-03-27 21:49:49.799789
0006|CAMPAIGN|Y|2571|2018-02-28 16:43:34.000000|2019-03-27 21:49:49.799789
0007|QUASAR|Y|151844|2018-10-23 19:09:44.000000|2022-06-29 19:04:14.145579
0004|FILE TRANSFER|Y|2569|2018-02-28 16:43:34.000000|2019-03-27 21:49:49.799789
0008|BEVALUED|Y|200000|2019-07-02 19:10:58.968563|2019-07-02 19:10:58.968563
0002|D&G CONTACT CENTRE|Y|2567|2018-02-28 16:43:34.000000|2019-03-27 21:49:49.799789
