CHANNEL_CODE|CHANNEL_GROUP_CODE|ACTIVE_FLAG|RefDataId|LoadDatetime|LastUpdatedDatetime
0000|0006|Y|4044|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0010|0003|Y|4054|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0021|0003|Y|4065|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0008|0003|Y|4052|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0026|0002|Y|5361|2018-10-23 19:09:54.000000|2020-06-04 19:05:26.239775
0025|0002|Y|200043|2019-10-31 19:04:49.022038|2019-10-31 19:04:49.022038
0030|0005|Y|200065|2019-11-13 19:04:43.312512|2019-11-13 19:04:43.312512
0042|0002|Y|200140|2020-10-15 19:02:50.069690|2020-10-15 19:02:50.069690
0018|0004|Y|4062|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0003|0005|Y|4047|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0013|0005|Y|4057|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0005|0004|Y|4049|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0023|0006|Y|200040|2019-10-30 19:05:14.627687|2019-10-30 19:05:14.627687
0031|0005|Y|200062|2019-11-13 19:04:43.312512|2019-11-13 19:04:43.312512
0040|0003|Y|200103|2020-06-09 19:05:40.167719|2020-06-09 19:05:40.167719
0046|9999|Y|200200|2021-08-09 19:03:14.323412|2021-08-09 19:03:14.323412
0004|0005|Y|4048|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0015|0005|Y|4059|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0002|0005|Y|4046|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0017|0001|Y|4061|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0027|0005|Y|200042|2019-10-30 19:05:14.627687|2019-10-30 19:05:14.627687
0032|0005|Y|200064|2019-11-13 19:04:43.312512|2019-11-13 19:04:43.312512
0041|0003|Y|200120|2020-07-06 19:04:26.156415|2020-07-06 19:04:26.156415
0049|0002|Y|200240|2022-11-10 19:06:53.249182|2022-11-10 19:06:53.249182
0006|0002|Y|4050|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0016|0002|Y|4060|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0001|0004|Y|4045|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0014|0002|Y|4058|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0028|0005|Y|200000|2019-07-23 19:05:26.678686|2019-07-23 19:05:26.678686
0033|0005|Y|200060|2019-11-13 19:04:43.312512|2019-11-13 19:04:43.312512
0036|0002|Y|200080|2020-02-14 19:05:20.262556|2020-06-04 19:05:26.239775
0044|0005|Y|200160|2021-02-12 19:03:15.957307|2021-02-13 19:03:44.163528
0012|0005|Y|4056|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0022|0003|Y|4066|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0007|0002|Y|4051|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0020|0005|Y|4064|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0029|0001|Y|200020|2019-09-26 19:05:01.202814|2019-09-26 19:05:01.202814
0034|0005|Y|200061|2019-11-13 19:04:43.312512|2019-11-13 19:04:43.312512
0038|0005|Y|200100|2020-05-13 19:05:32.013229|2020-05-13 19:05:32.013229
0045|0003|Y|200180|2021-04-22 19:03:02.959246|2021-04-22 19:03:02.959246
9999|9999|Y|4067|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0009|0002|Y|4053|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0019|0005|Y|4063|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0011|0003|Y|4055|2018-02-28 16:46:00.000000|2019-03-27 21:49:49.819054
0024|0002|Y|200041|2019-10-30 19:05:14.627687|2019-10-30 19:05:14.627687
0035|0005|Y|200063|2019-11-13 19:04:43.312512|2019-11-13 19:04:43.312512
0039|0002|Y|200104|2020-06-09 19:05:40.167719|2020-06-09 19:05:40.167719
0048|0007|Y|200220|2022-06-29 19:04:14.352615|2022-06-29 19:04:14.352615
