COUNTRY_CODE|CLIENT_CODE|CLIENT_GROUP_CODE|CLIENT_CATEGORY|ACTIVE_FLAG|RefDataId|LoadDatetime|LastUpdatedDatetime
GBR|00001|00001|R|Y|2|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00019|00138|M|Y|18|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00032|00028|R|Y|31|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00043|00036|M|Y|41|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00046|00038|R|Y|44|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00063|00048|R|Y|57|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00075|00059|R|Y|69|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00089|00014|R|Y|81|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00101|00081|R|Y|93|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00116|00091|M|Y|104|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00068|00053|M|Y|62|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00080|00064|M|Y|74|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00094|00168|M|Y|86|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00109|00030|M|Y|98|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00122|00014|R|Y|110|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00135|00109|R|Y|122|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00153|00121|M|Y|135|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00173|00140|R|Y|152|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00186|00151|M|Y|164|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00200|00163|M|Y|176|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00212|00175|M|Y|188|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00219|00014|R|Y|195|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00231|00192|M|Y|207|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00243|00295|M|Y|218|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00256|00211|R|Y|230|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00269|00221|R|Y|242|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00281|00014|R|Y|254|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00295|00244|M|Y|266|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00308|00256|M|Y|278|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00324|00267|M|Y|290|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00085|00039|M|Y|200400|2019-07-17 19:01:53.388015|2023-01-18 19:13:33.000000
ITA|00026|00005|M|Y|200466|2019-12-03 19:01:17.052787|2023-01-18 19:13:33.000000
GBR|00166|00133|R|Y|145|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00399|00330|M|Y|358|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00412|00342|M|Y|370|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00424|00354|M|Y|382|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00487|00361|R|Y|390|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00499|00371|M|Y|403|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00391|00322|M|Y|350|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00045|00030|M|Y|43|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00082|00066|M|Y|76|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00124|00277|M|Y|112|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00170|00138|M|Y|149|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00209|00172|R|Y|185|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00247|00204|M|Y|221|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00285|00236|M|Y|257|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00328|00273|M|Y|293|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00369|00014|M|Y|323|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00407|00337|M|Y|365|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00494|00366|M|Y|398|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00530|00404|M|Y|436|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00229|00040|M|Y|205|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00410|00340|M|Y|368|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00428|00358|M|Y|386|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00497|00369|M|Y|401|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00509|00382|M|Y|413|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00535|00409|M|Y|441|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00548|00422|M|Y|453|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00091|00014|R|Y|83|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00112|00087|M|Y|101|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00132|00107|O|Y|119|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00156|00124|R|Y|138|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00427|00357|M|Y|385|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
DEU|00053|00035|R|Y|200581|2020-08-12 19:01:21.368703|2023-01-18 19:13:33.000000
PRT|00023|00014|M|Y|200623|2020-12-18 19:00:51.674873|2023-01-18 19:13:33.000000
GBR|00490|00362|M|Y|394|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00508|00381|M|Y|412|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00526|00400|M|Y|432|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00551|00423|O|Y|456|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00267|00220|R|Y|240|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00286|00237|M|Y|258|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00276|00026|M|Y|249|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00296|00245|M|Y|267|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00316|00261|R|Y|285|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00339|00281|M|Y|304|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00360|00299|M|Y|333|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00379|00313|M|Y|341|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00398|00329|M|Y|357|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00423|00353|M|Y|381|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00492|00364|M|Y|396|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00510|00383|M|Y|414|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00528|00402|M|Y|434|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|00547|00421|O|Y|452|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
GBR|99999|99999|O|Y|391|2018-02-28 16:46:00.000000|2023-01-18 19:13:33.000000
ESP|00012|00008|M|Y|200010|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
DEU|00014|00008|R|Y|200016|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
GBR|00163|00117|R|Y|200701|2021-05-26 19:00:54.841165|2023-01-18 19:13:33.000000
DEU|00057|00039|O|Y|200724|2021-07-16 19:01:00.258681|2023-01-18 19:13:33.000000
GBR|00179|00040|M|Y|200740|2022-03-22 19:01:06.808918|2023-01-18 19:13:33.000000
IRL|00003|00010|M|Y|200026|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
IRL|00041|00022|O|Y|200032|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
FRA|00034|00022|M|Y|200038|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
AUT|00001|00001|M|Y|200044|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
ESP|00004|00002|M|Y|200050|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
DEU|00006|00002|M|Y|200056|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
DEU|00042|00023|M|Y|200062|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
IRL|00007|00009|M|Y|200068|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
FRA|00002|00002|R|Y|200074|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
FRA|00038|00026|M|Y|200080|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
AUT|00005|00005|M|Y|200086|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
ESP|00003|00001|M|Y|200092|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
DEU|00005|00002|M|Y|200098|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
DEU|00041|00022|M|Y|200104|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
IRL|00006|00003|M|Y|200110|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
FRA|00001|00001|M|Y|200116|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
FRA|00037|00025|R|Y|200122|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
AUT|00004|00004|M|Y|200128|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
ESP|00002|00014|M|Y|200134|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
DEU|00004|00002|M|Y|200140|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
DEU|00040|00032|O|Y|200146|2018-09-14 19:04:35.016707|2023-01-18 19:13:33.000000
