COUNTRY_CODE|COMPANY_CODE|SCHEME_CODE|CLIENT_GROUP_ID|CLIENT_ACCOUNT_ID|PULSE_ID|CM_SOURCE_ID|SCHEME_NAME|SCHEME_CATEGORY_CODE|CLIENT_GROUP_DESC|CLIENT_ACCOUNT_DESC|ACTIVE_FLAG|RefDataId|LoadDatetime|LastUpdatedDatetime
GBR|9|TG |28|251|22|28|******* SCHEME NO LONGER REQUIRED ******|DEAD|WHIRLPOOL|WHIRLPOOL|Y|1|2018-02-28 16:09:19.000000|2020-06-25 19:06:40.176191
GBR|A|2AW|48|300|42|16|SKY REPAIR PLAN|14MT|SKY|SKY HD|Y|22|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2CL|8|30|2|27|BOSCH SERVICE PLAN|23RD|BOSCH GROUP|BOSCH|Y|58|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2ED|48|209|3|16|SKY REPAIR PLAN|30|SKY|SKY|Y|94|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2AH|48|374|22|16|SKY HOME ENTERTAINMENT PLAN|KITC|SKY|SKY HD|Y|9|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2AT|48|211|42|16|SKY REPAIR PLAN|14MT|SKY|SKY+|Y|19|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2CH|8|30|36|33|BOSCH SERVICE PLAN|30|BOSCH GROUP|BOSCH|Y|55|2018-02-28 16:09:19.000000|2019-05-16 19:10:35.590286
GBR|A|2EA|48|373|21|16|SKY REPAIR PLAN|ITB|SKY|SKY|Y|91|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2FR|48|209|31|16|SKY REPAIR PLAN|SAM|SKY|SKY|Y|130|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2AX|48|300|41|16|SKY REPAIR PLAN|6MTH|SKY|SKY HD|Y|23|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2BR|48|211|50|16|SKY REPAIR PLAN|18TH|SKY|SKY+|Y|41|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2BA|6|19|37|27|BAXI ANNUAL PROTECTION PLAN|OUTB|BAXI GROUP|BAXI|Y|26|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2BN|48|209|50|16|SKY REPAIR PLAN|18TH|SKY|SKY|Y|38|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2EF|48|209|1|16|SKY REPAIR PLAN|11|SKY|SKY|Y|96|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2CC|48|300|50|16|SKY REPAIR PLAN|18TH|SKY|SKY HD|Y|50|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2BB|6|19|37|27|BAXI ANNUAL PROTECTION PLAN|OUTB|BAXI GROUP|BAXI|Y|27|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2DC|63|291|29|42|118 118 HEATING REPAIR PROTECTION PLAN|QUOT|118118|118118|Y|74|2018-02-28 16:09:19.000000|2019-08-02 19:05:39.915993
GBR|A|2EB|48|209|3|16|SKY REPAIR PLAN|30|SKY|SKY|Y|92|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2EV|48|209|24|16|SKY REPAIR PLAN|QUOT|SKY|SKY|Y|110|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2FH|48|209|15|16|SKY REPAIR PLAN|FOAM|SKY|SKY|Y|122|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
GBR|A|2FV|48|209|9|16|SKY REPAIR PLAN|ALAR|SKY|SKY|Y|134|2018-02-28 16:09:19.000000|2019-03-28 19:11:02.692298
