COUNTRY_CODE|CONTRACT_MASTER_COVER_CODE|CONTRACT_COVER_CODES|CONTRACT_COVER_EXCLUSION_CODES|CONTRACT_CLAIM_DESIGNATION_CODES|ACTIVE_FLAG|RefDataId|LoadDatetime|LastUpdatedDatetime
SWE|V|B C|A|567|Y|200001|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
GBR|F|A B C||12456789|Y|200007|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
GBR|G|A|B C|13479|Y|200013|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
PRT|B|A|B C D E F|17|Y|200019|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
IRL|6|1 2 3 4 5 7 8 10 11|6 9|1|Y|200025|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
ITA|A|C D|A B|257|Y|200031|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
POL|6|B|A C D E F|5|Y|200037|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
SWE|O|NO COVER|A B C|3|Y|200043|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
DEU|9|SEE MASTER POLICY|.|147|Y|200049|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
NLD|)|A B C D||1572C|Y|200055|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
IRL|}|1 2 3 4 5 6 8 9 10|7 11|1|Y|200061|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
SWE|§|1 2 3 4 5 6|7|1|Y|200068|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
AUT|V|B D F|A C E|567|Y|200074|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
IRL|T|C|A B|6|Y|200078|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
POL|V|B D F|A C E|567|Y|200085|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
IRL|J|A C|B|467|Y|200091|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
ITA|J|B C G H|A D F|5679|Y|200097|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
AUT|3|ABC|.|3|Y|200103|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
IRL|@|A B C D|.|12578|Y|200109|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
GBR|$|A B C D E|.|4 3|Y|200115|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
NLD|S|A B F|C D E|3|Y|200121|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
IRL|L|A B C||14567|Y|200126|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
IRL|-|A|B|17|Y|200133|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
ESP|(|A B C||1572|Y|200139|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
NLD|(|A B C|D|1572|Y|200143|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
AUT|M|A E F|B C D|167|Y|200151|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
IRL|=|A B D|C|38|Y|200157|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
ESP|O|A B C G H|D E F|1567A|Y|200163|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
AUT|A|A B C D E F||12345678|Y|200169|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
AUT|6|B|A C D E F|5|Y|200176|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
ESP|A|C E|A B D F|35|Y|200181|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
GBR|>|A B D E M||3|Y|200188|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
NLD|Y|A B C H|I|1567|Y|200194|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
POL|N|D F|A B C E|6|Y|200182|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
AUT|O|-|A B C D E F|-|Y|200205|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
POL|S|A B F|C D E|3|Y|200211|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
GBR|U|B C D|A E|3|Y|200217|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
SWE|?|1 2 3 4 5 6 8 101213|7|1|Y|200223|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
SWE|<|1 2 3 4 5 7 8 12|6 10 13|1|Y|200229|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
AUT|F|A B C D F|E|12456789|Y|200235|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
SWE|Ä|A B C|.|14567|Y|200241|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
GBR|P|A|B|1 4 7 9|Y|200247|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
NLD|6|B|A C D E F|5|Y|200253|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
IRL|W|A C|B|1467|Y|200259|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
DEU|7|A B|.|3|Y|200265|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
ESP|Q|C D G H|A B E F|25789C|Y|200271|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
GBR|T|C|A B|6|Y|200277|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
GBR|M|B M||124579|Y|200283|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
NLD|I|A B C D F|E|245678|Y|200289|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
FRA|F|A B C|D E F|157|Y|200295|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
NLD|H|A B C|D E F|24578|Y|200301|2021-04-29 18:32:43.807913|2021-04-29 18:32:43.807913
