COUNTRY_CODE|COUNTRY_NAME|AVI_THRESHOLD|ACTIVE_FLAG|RefDataId|LoadDatetime|LastUpdatedDatetime
AUT|AUSTRIA|V42-XXX-P5-080|Y|10503|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
GBR|UNITED KINGDOM|V42-XXX-P5-080,V42-XXX-P6-075|Y|10515|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
AUS|AUSTRALIA|V42-XXX-P5-080|Y|10501|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
BEL|BELGIUM|V42-XXX-P5-080|Y|10505|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
IRL|IRELAND|V42-XXX-P5-080|Y|10517|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
FRA|FRANCE|V42-XXX-P5-080|Y|10513|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
DNK|DENMARK|V42-XXX-P5-080|Y|10509|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
SWE|SWEDEN|V42-XXX-P5-080|Y|10529|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
NLD|NETHERLANDS|V42-XXX-P5-080|Y|10521|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
ITA|ITALY|V42-XXX-P5-080|Y|10519|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
ESP|SPAIN|V42-XXX-P5-080|Y|10511|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
NZL|NEW ZEALAND|V42-XXX-P5-080|Y|10523|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
DEU|GERMANY|V42-XXX-P5-080|Y|10507|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
PRT|PORTUGAL|V42-XXX-P5-080|Y|10527|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
POL|POLAND|V42-XXX-P5-080|Y|10525|2018-02-28 16:43:34.000000|2018-02-28 16:43:34.000000
