COUNTRY_CODE|ITEM_MAKER_CODE|ITEM_MAKER_DESCRIPTION|MULTIPLICATION_FACTOR|GOODS_COLOUR|ITEM_MAKER_FAMILY_CODE|ACTIVE_FLAG|RefDataId|LoadDatetime|LastUpdatedDatetime
GBR|44SW|Swan 4-11m IPM Tel Reg| 0000001.00|W|SWAN|Y|11|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|AACT|AEG| 0000001.00|W|AEG|Y|14|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ACER|ACER| 0000001.00|B|ACER|Y|32|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ADMI|ADMIRAL| 0000001.00|G|ADMI|Y|50|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|AFTE|AFTERGLOW| 0000001.00| |AFTE|Y|68|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|AMBR|AMBRA| 0000001.00|B|AMBR|Y|107|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ANGE|ANGENIEUX| 0000001.00| |ANGE|Y|125|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ANBA|ANDREW BARTON| 0000001.00|G|ANBA|Y|122|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|AQU|AQUAFLAME| 0000001.00|A|AQU|Y|140|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ARIC|ARISTOCRAT| 0000001.00|W|CRAT|Y|158|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ASI|ASI| 0000001.00| |ASI|Y|176|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|ATL|ATLANT| 0000001.00|G|ATL|Y|194|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|AVI|AVI| 0000001.00|B|AVI|Y|212|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BAPL|BARCLAY PLAT 1YR GTE| 0000001.00|A|@@@@|Y|230|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|BAYQ|BARCLYS PLAT 2YR GTE| 0000001.00|G|@@@@|Y|263|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|BCIJ|BARCLAYCARD WARRANTY| 0000001.00|A|@@@@|Y|281|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|BCOH|BCLAYS AD AC(WEB)2YR| 0000001.00|G|@@@@|Y|299|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|BCOQ|BARCLAYS ADDITIONS ACTIVE 1 YR| 0000001.00|A|@@@@|Y|308|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|BE99|BELLING CALL CENTRE| 0000001.00|W|BELL|Y|332|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BEKO|BEKO| 0000001.00|A|BEKO|Y|350|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BEOV|BEOVISION| 0000001.00|B|BEOV|Y|368|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BIA|BIASI (BIA)| 0000001.00|H|BIAS|Y|386|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BLA|BLACK PRINCE| 0000001.00|H|BLA|Y|404|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BNRE|BIONAIRE| 0000001.00| |BNRE|Y|422|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BOSS|BOSS| 0000001.00|A|BOSS|Y|440|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BRAT|BRATZ (WOOLWORTHS ONLY)| 0000001.00| |BRAT|Y|458|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BRON|BRONICA| 0000001.00|B|BRON|Y|476|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|BTCF|BCARD 2YR £500+| 0000001.00|G|@@@@|Y|494|2018-02-28 16:29:07.000000|2018-10-22 19:06:09.373182
GBR|CAL|CALOR| 0000001.00|A|CAL|Y|512|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CAMB|CAMBRIDGE| 0000001.00|A|CAMB|Y|518|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CANW|CANNON| 0000001.00|A|CANN|Y|527|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CATH|CATHAY| 0000001.00|B|CATH|Y|545|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CERV|CERVIN| 0000001.00|B|CERV|Y|563|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CIH|CI(H)| 0000001.00| |CIH|Y|581|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|CMPQ|COMPACKS| 0000001.00|G|CMPQ|Y|599|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
GBR|03IN|Indesit 0-3m Tel Reg| 0000001.00|W|INDE|Y|3|2018-02-28 16:29:07.000000|2019-11-14 19:02:43.669508
