COUNTRY_CODE|LOC_CATEGORY_CODE|LOC_CATEGORY_NAME|ACTIVE_FLAG|RefDataId|LoadDatetime|LastUpdatedDatetime
GBR|001|SILVER|Y|54169|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
GBR|002|GOLD|Y|54170|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
IRL|006|ANNUAL SERVICE|Y|150269|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
GBR|009|PLATINUM EXTRA|Y|54177|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
IRL|011|ANNUAL SERVICE, LABOUR AND PARTS|Y|150909|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
IRL|014|PARTS ONLY|Y|149893|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
GBR|004|SILVER PLUS|Y|54172|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
GBR|005|ONE ANNUAL SERVICE|Y|54173|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
IRL|009|PLATINUM EXTRA|Y|150412|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
GBR|012|SYSTEM & SERVICE|Y|54180|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
IRL|001|SILVER|Y|150978|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
GBR|016|PAY ON USE|Y|200000|2021-08-25 19:03:56.383289|2021-08-26 19:03:46.177793
GBR|010|ANNUAL SERVICE AND LABOUR|Y|54178|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
GBR|011|ANNUAL SERVICE, LABOUR AND PARTS|Y|54179|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
GBR|999|STANDARD|Y|54183|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
IRL|002|GOLD|Y|150871|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
IRL|007|SILVER PLUS EXTRA|Y|150735|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
IRL|999|STANDARD|Y|150304|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
IRL|003|PLATINUM|Y|151104|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
GBR|006|ANNUAL SERVICE|Y|54174|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
IRL|008|GOLD EXTRA|Y|151377|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
IRL|013|LABOUR ONLY|Y|149966|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
GBR|013|LABOUR ONLY|Y|54181|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
GBR|014|PARTS ONLY|Y|54182|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
GBR|003|PLATINUM|Y|54171|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
IRL|005|ONE ANNUAL SERVICE|Y|150577|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
IRL|010|ANNUAL SERVICE AND LABOUR|Y|151473|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
GBR|007|SILVER PLUS EXTRA|Y|54175|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
GBR|008|GOLD EXTRA|Y|54176|2018-02-28 16:43:34.000000|2019-03-27 21:49:51.015550
IRL|012|SYSTEM & SERVICE|Y|150659|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
GBR|015|LOSS & THEFT|Y|148364|2018-09-18 19:08:41.000000|2019-03-27 21:49:51.015550
IRL|004|SILVER PLUS|Y|151497|2018-10-15 19:10:11.000000|2019-03-27 21:49:51.015550
